Id,V162030,V162095,V162096,V162097,V162098,V162099,V162100,V162101,V162102,V162103,V162104,V162105,V162106,V162107,V162108,V162109,V162110,V162111,V162112,V162113,Vote
977,-1,40,100,85,70,50,30,50,60,85,70,50,70,50,70,50,70,70,85,70,1
978,-1,60,60,30,60,60,40,60,40,60,30,70,40,85,100,60,85,50,40,30,2
979,-1,51,33,1,32,97,32,51,41,99,41,97,98,99,73,62,99,99,52,1,2
980,-1,70,71,62,76,94,75,74,61,100,57,85,87,98,100,80,85,85,86,40,2
981,-1,70,-9,-9,40,70,51,-9,-9,50,-9,41,50,60,50,-9,16,40,60,100,1
982,-1,40,60,60,40,70,30,50,50,100,50,50,100,100,100,40,70,100,100,70,1
983,-1,0,5,0,0,5,5,5,6,8,7,8,5,5,8,5,9,0,10,0,2
984,-1,-9,69,50,99,97,15,47,50,84,14,86,-9,83,91,-9,71,87,98,76,1
985,-1,100,50,0,50,90,80,90,50,0,15,75,12,100,100,50,95,0,60,0,2
986,1,54,82,65,52,71,31,72,63,72,25,16,66,86,81,4,87,84,77,50,1
987,-1,95,25,4,10,57,67,76,35,4,10,47,7,92,64,68,80,7,49,51,2
988,-1,15,60,40,40,70,40,40,50,100,50,60,60,85,100,0,70,100,100,40,3
989,-1,70,85,85,60,100,40,60,40,50,30,50,70,100,85,0,70,50,85,70,1
990,-1,100,0,0,0,0,0,100,52,0,0,0,0,100,100,100,100,0,0,0,2
991,-1,70,-9,7,0,83,81,68,85,14,39,59,69,100,87,85,94,17,84,0,2
992,-1,0,97,94,82,60,19,10,74,98,0,30,98,64,97,0,94,96,100,98,1
993,-1,41,46,73,65,75,32,74,72,86,19,18,48,61,62,42,71,80,98,44,2
994,-1,85,100,30,50,100,100,100,100,0,85,100,60,100,100,50,70,0,100,60,2
995,-1,60,40,50,40,60,60,50,85,0,0,50,40,85,50,60,100,0,85,15,2
996,-1,30,70,60,60,40,30,60,40,60,30,60,30,70,50,30,70,60,40,40,1
997,-1,100,50,40,71,86,61,85,72,51,70,61,52,100,71,62,85,32,84,60,2
998,-1,50,50,0,50,100,50,50,0,100,0,0,100,100,50,0,50,85,50,100,1
999,-1,70,72,32,32,6,1,31,96,4,0,2,1,50,85,0,95,1,98,0,2
1000,-1,17,99,85,61,59,15,15,58,100,32,20,99,46,84,6,42,96,84,99,1
1001,-1,60,70,70,0,85,70,70,70,70,70,50,70,85,85,70,85,70,70,70,2
1002,-1,30,16,100,100,100,69,15,100,100,85,40,100,16,100,30,100,100,100,40,1
1003,-1,35,40,60,41,58,72,60,75,86,71,55,85,93,94,33,93,86,71,9,1
1004,-1,1,77,71,71,50,14,51,69,77,14,50,49,51,52,0,69,51,91,68,1
1005,-1,10,90,60,47,48,35,40,55,80,30,35,80,30,70,0,80,55,95,35,1
1006,-1,85,50,70,50,70,65,50,70,50,70,70,50,100,75,50,85,50,65,0,2
1007,-1,51,42,71,16,51,40,16,70,70,31,31,50,16,50,30,85,71,86,50,1
1008,-1,85,70,60,100,85,60,50,60,70,70,50,70,100,85,50,100,0,100,85,1
1009,2,46,50,19,44,45,35,49,42,63,40,16,54,52,41,48,55,47,33,50,2
1010,-1,15,70,70,60,85,30,40,40,60,40,40,60,85,100,0,70,40,100,70,1
1011,-1,50,17,0,0,31,16,70,60,50,15,47,0,50,50,78,81,0,98,0,2
1012,-1,50,50,50,50,83,49,51,48,50,48,54,50,50,50,50,51,51,51,51,4
1013,-1,-9,50,60,40,60,30,40,40,50,40,60,60,60,50,-9,60,50,60,60,1
