Id,V161008,V161009,V161019,V161112,V161126,V161241,V161265x,V161267,V161268,V161270,V161272,V161276x,V161307,V161310x,V161315,V161316,V161322a,V161326,V161329,V161334,V161361x,V162030,V162095,V162096,V162097,V162098,V162099,V162100,V162101,V162102,V162103,V162104,V162105,V162106,V162107,V162108,V162109,V162110,V162111,V162112,V162113
2256,5,4,1,1,99,2,4,39,1,9,14,1,-1,1,1,1,-1,1,1,2,24,-1,43,46,43,52,79,29,65,75,72,34,60,41,72,51,53,84,64,88,19
2257,7,1,1,1,2,2,8,66,1,14,13,5,3,1,1,1,-1,1,1,2,23,-1,0,94,86,91,71,42,4,61,99,4,51,52,41,99,3,71,89,89,61
2258,7,3,-1,1,6,1,2,70,1,13,13,5,3,2,1,1,-1,1,-1,2,19,-1,85,30,15,60,85,70,85,40,30,15,70,70,100,85,60,100,15,70,40
2259,7,2,-1,1,4,1,1,63,4,10,-1,5,-1,1,1,1,-1,1,1,2,21,-1,50,50,60,70,60,40,50,70,50,60,60,50,70,50,50,85,50,60,40
2260,7,1,-1,2,1,2,8,24,6,9,-1,1,1,2,1,1,-1,2,1,1,3,-1,71,99,0,50,0,0,0,0,98,0,63,70,98,85,0,62,71,63,100
2261,5,3,1,1,3,1,5,61,6,13,-1,5,-1,1,1,1,-1,1,2,2,9,-1,15,85,85,30,85,40,15,60,85,15,40,85,70,85,15,85,70,85,70
2262,7,3,-1,1,4,1,2,20,5,13,10,1,-1,2,1,1,-1,1,1,1,15,-1,85,83,32,68,90,70,62,70,52,69,50,66,96,68,60,15,52,80,100
2263,7,1,1,1,1,2,4,68,6,13,13,1,2,1,1,1,-1,1,1,1,26,-1,40,85,85,85,100,70,15,60,100,30,85,100,50,100,0,85,100,85,70
2264,4,3,2,1,3,2,6,23,6,8,8,1,-1,5,1,1,-1,1,-1,2,1,-1,50,40,15,30,60,50,70,50,50,40,50,30,50,50,70,100,50,50,15
2265,4,4,4,1,3,2,4,19,6,10,-1,8,2,5,3,4,3,1,1,4,7,-1,50,15,100,100,100,15,50,85,100,60,50,100,100,100,50,100,100,100,50
2266,7,1,1,1,5,1,4,74,1,13,9,1,-1,1,1,1,-1,1,1,3,6,-1,30,50,30,50,70,60,60,60,50,15,40,50,70,50,15,85,50,60,15
2267,7,3,4,1,99,1,1,36,4,11,-1,1,-1,1,1,1,-1,1,2,2,7,-1,50,50,50,30,50,15,50,40,40,30,50,70,85,85,50,85,40,85,40
2268,7,2,-1,2,6,1,1,55,3,10,-1,1,2,1,1,1,-1,1,1,1,11,-1,50,0,6,6,98,50,91,2,50,29,50,1,99,96,59,97,0,85,0
2269,7,1,2,1,7,1,1,71,1,9,9,5,2,1,1,1,-1,1,-1,3,-9,-1,100,50,0,0,85,70,100,50,0,50,85,50,100,100,70,100,0,100,0
2270,7,2,1,1,7,1,8,61,1,8,9,1,2,6,1,1,-1,1,1,1,13,-1,100,50,15,50,100,85,100,60,50,60,85,50,100,100,70,85,0,85,15
2271,6,1,2,2,7,2,7,51,4,13,12,1,2,1,1,1,-1,1,1,1,12,-1,50,10,7,30,70,60,100,54,50,48,61,15,50,50,95,85,50,98,0
2272,4,2,4,1,4,1,1,55,4,13,-1,4,3,1,1,1,-1,1,1,2,26,-1,35,83,71,53,77,40,62,66,81,46,54,51,66,80,34,67,72,85,40
2273,7,3,-1,1,6,1,2,48,1,14,13,1,3,1,2,1,-1,1,1,2,19,-1,70,70,15,50,85,50,100,70,40,60,50,40,100,85,85,85,40,85,15
2274,7,3,1,1,4,1,7,76,3,9,-1,5,2,2,3,4,3,2,-1,1,2,-1,60,100,70,70,100,-9,40,-9,60,-9,-9,60,70,85,0,70,70,85,100
2275,7,2,1,1,2,1,7,67,1,14,14,1,3,1,1,1,-1,1,1,2,27,-1,15,100,100,85,70,40,15,70,85,60,50,85,50,100,10,70,85,85,85
2276,7,1,4,1,6,1,5,63,4,10,-1,5,-1,1,1,1,-1,1,1,2,15,-1,95,25,4,10,57,67,76,35,4,10,47,7,92,64,68,80,7,49,51
2277,5,3,-1,1,3,2,8,32,1,12,10,1,-1,1,1,1,-1,1,1,1,18,-1,0,85,80,60,100,40,40,85,85,40,50,75,60,70,15,85,50,100,50
2278,6,2,-1,1,4,2,4,71,1,10,9,5,-1,1,3,4,1,1,1,2,17,-1,15,50,46,56,50,64,39,33,51,13,49,50,51,50,13,71,50,78,40
2279,4,2,-1,1,4,1,4,55,1,14,13,1,3,5,3,4,4,1,1,2,28,-1,50,60,70,60,70,70,50,60,70,50,70,60,80,70,15,60,70,80,70
2280,7,3,1,1,4,1,5,21,6,10,-1,1,-1,5,1,1,-1,1,1,4,22,-1,40,60,60,40,70,30,50,50,100,50,50,100,100,100,40,70,100,100,70
2281,5,4,2,1,4,1,2,34,1,13,14,1,3,1,1,1,-1,1,1,2,21,-1,58,55,46,35,45,67,53,73,47,48,60,55,78,60,38,64,45,68,45
2282,5,4,4,1,99,2,5,45,1,12,11,1,-1,1,1,1,-1,1,2,3,1,-1,85,70,15,15,60,40,60,85,0,70,60,0,100,60,60,85,15,50,0
2283,6,2,4,2,4,1,1,62,4,9,-1,5,1,6,1,1,-1,2,2,1,1,-1,60,60,30,70,60,50,60,60,60,60,60,50,85,60,60,70,50,100,60
2284,7,1,-1,1,7,1,4,64,1,10,10,5,3,1,1,1,-1,1,1,2,24,-1,31,16,16,16,85,75,100,95,50,50,51,50,100,100,85,100,50,71,1
2285,7,2,4,1,1,2,6,23,6,13,-1,1,-1,1,1,1,-1,1,1,4,23,-1,0,100,85,85,70,0,0,30,100,30,0,100,30,100,0,0,100,30,100
2286,7,1,2,2,6,1,4,72,4,10,-1,6,-1,1,1,1,-1,1,1,2,9,-1,62,32,1,17,86,72,98,62,51,17,86,1,72,72,87,87,42,42,3
2287,7,3,2,1,6,1,5,55,1,11,12,7,2,1,1,1,-1,1,2,3,12,-1,100,0,50,30,100,30,70,15,50,60,50,50,100,100,50,100,50,50,0
2288,7,2,1,1,4,2,4,46,4,9,-1,1,2,5,3,4,4,1,1,1,1,-1,70,50,15,50,100,85,70,100,0,85,50,0,100,15,50,70,0,100,30
2289,7,1,2,1,5,1,4,85,3,9,-1,5,-1,1,3,1,-1,1,2,4,12,-1,100,75,10,100,100,25,100,75,100,20,80,100,100,100,60,100,100,100,0
2290,7,3,4,1,99,2,-2,61,4,8,-1,1,2,1,1,1,-1,1,1,2,22,-1,40,50,50,50,85,50,50,50,40,30,50,50,85,50,50,85,40,85,30
2291,7,1,-1,1,6,1,5,74,4,10,-1,5,1,1,1,1,-1,1,2,3,7,-1,50,40,40,40,60,50,70,60,50,50,50,60,75,75,60,75,60,75,15
2292,6,2,2,1,99,2,1,41,1,14,13,1,-1,5,1,1,-1,1,1,2,25,-1,25,63,40,36,70,39,55,62,50,35,74,0,63,66,70,81,44,85,8
2293,1,4,4,1,4,2,8,41,4,10,10,1,-1,1,1,1,-1,1,1,2,7,-1,1,41,28,69,94,5,31,52,99,7,85,91,26,97,0,91,93,96,51
2294,7,2,-1,2,1,2,8,41,1,9,10,1,-1,1,1,1,-1,1,1,2,14,-1,32,41,50,51,52,85,52,74,52,87,50,3,51,53,53,89,4,85,18
2295,5,4,4,1,2,2,8,35,2,13,14,8,-1,5,2,3,-1,1,1,1,19,-1,30,70,70,50,100,40,60,60,100,15,40,70,85,85,0,60,100,100,70
2296,7,3,2,1,6,1,4,90,3,4,-1,5,3,1,1,1,-1,2,-1,1,5,-1,51,1,0,2,99,99,99,16,86,0,100,17,99,100,85,100,51,51,1
2297,1,3,4,1,99,1,1,38,6,12,11,1,-1,1,1,1,-1,1,1,1,22,-1,3,2,2,7,100,1,4,2,16,1,3,0,17,2,100,6,3,99,2
2298,4,4,-1,1,6,1,2,66,1,9,13,5,2,1,1,1,-1,1,2,3,23,-1,60,30,0,60,50,30,85,60,40,60,50,15,100,85,60,100,40,60,15
2299,2,4,-1,1,5,1,5,31,1,15,15,1,4,1,1,1,-1,1,1,2,28,-1,30,70,60,40,60,50,50,50,100,40,50,70,70,100,50,70,100,75,75
2300,7,2,2,1,6,1,1,43,1,13,10,1,-1,1,1,1,-1,1,1,2,24,-1,16,48,46,50,60,61,83,50,33,60,61,30,97,49,51,82,3,74,2
