Id,V161008,V161009,V161019,V161112,V161126,V161241,V161265x,V161267,V161268,V161270,V161272,V161276x,V161307,V161310x,V161315,V161316,V161322a,V161326,V161329,V161334,V161361x,V162030,V162095,V162096,V162097,V162098,V162099,V162100,V162101,V162102,V162103,V162104,V162105,V162106,V162107,V162108,V162109,V162110,V162111,V162112,V162113,Vote
2213,7,2,1,1,2,2,8,27,2,10,10,1,0,1,1,1,0,1,1,1,19,0,1,85,100,60,50,15,30,60,60,15,50,50,30,60,30,60,60,60,50,1
2214,7,2,0,1,2,2,4,69,1,14,16,5,0,1,1,1,0,1,1,3,24,0,15,100,80,60,60,30,40,60,80,30,40,50,60,85,1,70,60,85,90,1
2215,7,3,2,1,99,2,5,49,1,9,9,1,2,1,1,1,0,1,1,2,15,0,50,50,60,40,15,60,50,50,50,30,50,1,60,50,40,70,40,60,15,1
2216,7,3,1,1,99,1,7,66,4,8,0,1,3,1,1,1,0,1,1,1,14,0,50,50,50,85,70,40,50,70,50,40,50,30,85,50,60,70,15,70,30,1
2217,5,3,0,1,2,1,5,26,6,10,0,1,2,2,1,1,0,1,1,4,21,0,70,100,85,100,70,40,40,50,100,40,50,100,100,100,60,30,100,60,100,1
2218,7,2,1,1,4,1,5,61,1,14,10,1,1,1,1,1,0,1,1,3,18,0,85,40,40,40,85,40,60,60,60,40,40,30,100,70,40,85,70,50,1,1
2219,7,3,0,1,2,2,4,29,1,14,15,1,3,1,1,1,0,1,1,1,27,0,15,100,85,85,50,40,15,85,100,60,50,100,100,100,1,70,100,100,85,1
2220,5,2,1,1,2,1,7,60,1,14,14,1,4,1,1,1,0,1,1,3,28,0,1,100,50,40,85,30,1,40,85,1,50,70,70,100,1,50,50,85,50,1
2221,4,2,4,1,5,1,5,37,1,12,11,1,2,1,1,1,0,1,1,2,21,0,50,50,1,60,100,50,85,100,100,1,50,40,100,100,60,100,50,100,1,1
2222,7,3,1,1,2,2,1,43,4,13,0,1,1,2,3,4,4,1,1,2,7,0,15,85,70,70,70,30,15,40,100,40,70,85,70,85,1,70,70,100,100,1
2223,3,4,2,1,4,2,8,33,2,9,9,1,0,3,1,1,0,1,1,1,17,0,40,50,40,50,60,60,40,60,70,40,60,50,50,50,60,85,50,85,50,1
2224,7,1,2,1,6,2,4,56,1,12,13,1,0,1,1,1,0,1,1,2,18,0,55,60,60,55,85,70,75,55,60,30,65,60,95,80,80,70,50,85,30,1
2225,7,1,2,1,6,1,4,78,6,10,0,5,3,1,1,1,0,1,2,1,10,0,50,50,15,60,70,50,70,40,30,1,50,1,85,50,1,60,1,60,1,1
2226,4,4,2,1,99,1,7,73,4,10,0,1,2,1,1,1,0,1,1,2,21,0,50,40,40,50,50,50,60,50,30,15,40,50,60,50,50,60,30,70,40,1
2227,5,3,0,1,4,2,8,74,1,15,13,5,0,1,2,1,0,1,1,2,28,0,1,33,19,18,52,51,51,42,70,15,51,17,32,60,28,86,51,51,2,1
2228,7,1,0,1,99,1,2,65,3,13,0,5,0,2,1,1,0,1,1,3,14,0,50,70,70,85,100,60,60,70,85,40,70,85,85,85,50,85,85,85,85,1
2229,7,1,1,1,1,1,7,73,4,12,0,5,2,1,1,1,0,1,1,2,10,0,51,88,88,92,91,32,87,74,96,17,91,90,91,91,42,79,95,93,76,1
2230,3,2,4,1,5,1,2,68,4,14,0,6,2,1,1,1,0,2,1,1,13,0,70,85,70,70,85,85,70,100,85,70,50,85,85,85,50,85,85,85,70,1
2231,2,4,1,1,99,2,8,37,6,9,0,1,2,5,3,1,0,1,1,1,1,0,95,16,49,32,94,51,30,93,54,89,11,50,67,53,53,88,49,91,81,1
2232,3,2,1,1,3,2,4,31,1,4,6,4,2,5,3,4,4,1,1,1,1,0,51,95,50,84,94,58,50,70,97,25,49,48,65,68,58,74,85,95,45,1
2233,7,3,1,1,4,2,4,68,1,13,3,5,3,3,3,4,3,1,2,3,13,0,50,80,75,90,75,50,20,100,70,50,50,50,50,50,1,99,50,80,50,1
2234,4,3,1,1,2,2,8,29,6,13,0,1,0,1,1,1,0,1,1,1,13,0,40,100,85,70,50,30,50,60,85,70,50,70,50,70,50,70,70,85,70,1
2235,7,3,2,2,7,2,1,73,1,11,13,5,4,1,3,4,2,1,1,2,25,0,70,30,15,1,60,50,85,50,30,30,60,1,100,60,70,85,50,70,1,1
2236,7,2,0,1,4,2,4,68,1,8,8,5,0,1,1,1,0,1,1,3,1,0,50,70,60,85,85,30,70,85,30,60,30,60,70,100,50,100,50,85,85,1
2237,2,3,4,1,7,1,1,28,1,13,14,1,2,1,1,1,0,1,1,1,22,0,50,30,30,70,50,60,85,30,50,60,50,30,100,50,60,100,1,70,1,1
2238,5,2,2,1,6,1,2,41,1,12,12,1,3,1,1,1,0,2,1,2,20,0,72,50,15,16,85,69,86,71,50,50,72,30,79,70,86,99,61,84,41,1
2239,3,3,0,2,99,2,5,35,6,5,0,7,2,2,1,1,0,1,1,3,1,0,70,15,70,70,70,70,70,70,85,70,30,1,100,36,70,60,85,85,100,1
2240,7,1,4,1,4,1,1,63,6,13,0,1,0,1,1,1,0,1,1,2,22,0,50,70,50,50,50,50,50,70,50,40,50,50,50,50,50,70,50,70,50,1
2241,6,3,1,1,99,1,2,65,5,14,0,5,0,2,1,1,0,1,1,2,23,0,50,100,50,100,85,40,50,40,85,50,70,70,60,70,15,70,70,100,50,1
2242,3,4,1,1,3,1,2,40,5,12,0,1,0,2,1,1,0,1,1,1,9,0,998,70,85,85,85,60,85,40,70,60,60,60,100,998,998,85,40,85,100,1
2243,7,2,0,1,3,1,2,53,6,10,0,6,0,2,1,1,0,1,1,4,4,0,85,85,50,50,100,15,50,70,30,70,50,50,100,100,50,30,30,70,100,1
2244,7,1,4,1,6,2,8,66,1,14,13,5,0,1,1,1,0,1,1,3,11,0,50,1,1,1,50,85,100,1,50,1,85,30,60,100,60,100,1,30,1,1
2245,6,3,0,1,6,1,1,76,1,13,13,5,3,1,1,1,0,1,1,3,21,0,67,60,37,31,60,85,85,76,50,34,52,42,100,86,60,93,51,97,32,1
2246,5,1,2,1,4,1,5,38,6,11,14,1,0,1,1,1,0,1,1,1,3,0,1,85,1,50,50,60,100,70,100,70,70,1,100,1,100,60,50,100,1,1
2247,5,2,0,1,6,1,5,57,1,13,12,1,3,1,1,1,0,1,1,2,18,0,100,60,30,50,60,40,75,50,40,48,45,40,100,75,50,77,45,70,35,1
2248,7,1,2,1,4,2,1,73,3,14,0,5,3,1,1,1,0,1,1,3,24,0,1,85,60,15,60,40,40,40,50,15,40,40,60,40,1,60,50,70,1,1
2249,6,2,0,2,4,1,5,38,6,13,0,1,2,2,3,1,0,1,1,1,1,0,40,50,50,50,60,40,50,50,40,40,40,50,60,50,50,40,40,60,70,1
2250,7,1,0,2,1,1,4,32,4,15,0,4,0,6,1,1,0,1,2,4,23,0,3,85,99,99,80,16,15,30,85,12,31,78,41,81,2,40,51,99,85,1
2251,7,2,0,1,4,1,4,88,3,9,0,5,3,1,1,1,0,2,0,3,5,0,85,50,60,70,85,60,85,60,50,70,85,50,100,85,40,85,50,85,40,1
2252,7,3,1,1,6,1,2,52,5,10,0,1,3,5,1,1,0,1,1,3,18,0,70,30,60,85,70,40,85,70,60,50,40,60,70,60,50,60,50,60,70,1
2253,1,3,2,1,6,1,5,24,6,12,0,1,2,1,1,1,0,1,1,1,7,0,85,70,70,50,100,85,100,85,85,85,70,100,100,100,85,85,85,100,30,1
2254,7,1,0,1,6,2,8,41,6,9,9,1,0,2,1,3,0,1,0,4,13,0,100,85,40,100,70,100,50,100,50,85,60,85,100,100,100,85,15,100,100,1
