Id,V162030,V162095,V162096,V162097,V162098,V162099,V162100,V162101,V162102,V162103,V162104,V162105,V162106,V162107,V162108,V162109,V162110,V162111,V162112,V162113
1422,0,15,71,90,16,99,42,31,39,85,39,68,84,83,84,30,39,82,100,70
1423,0,3,75,85,73,80,27,7,46,75,11,46,75,73,88,2,76,79,83,67
1424,0,50,60,60,40,85,40,60,85,100,30,1,60,85,85,100,100,100,100,1
1425,0,40,50,60,50,50,40,40,50,60,40,50,50,70,50,70,70,50,50,50
1426,0,1,85,85,50,70,1,15,60,50,40,30,50,40,50,1,60,50,85,85
1427,0,50,100,40,85,100,50,85,70,50,50,50,85,100,100,50,100,100,85,1
1428,0,40,40,61,40,50,41,41,40,40,40,41,30,100,51,41,70,41,51,50
1429,4,50,15,50,70,60,50,50,70,1,50,50,1,100,1,50,100,1,70,1
1430,0,40,50,1,70,15,50,100,85,50,60,50,1,70,50,70,85,40,100,1
1431,0,100,40,50,85,100,85,100,70,1,70,100,60,100,100,50,100,1,100,1
1432,0,52,99,91,89,85,49,46,44,96,53,40,71,85,72,52,86,98,89,60
1433,0,64,99,74,71,80,57,70,69,99,70,51,99,61,53,73,52,82,79,99
1434,1,1,100,100,50,100,1,1,50,100,25,1,100,15,100,50,90,100,70,90
1435,0,2,85,85,52,50,40,1,84,85,51,70,49,23,71,31,71,90,100,51
1436,0,60,70,40,70,70,40,85,50,85,40,70,85,100,85,60,100,70,85,100
1437,0,85,100,60,1,1,70,15,60,40,100,100,50,85,30,85,40,50,15,50
1438,0,1,50,85,50,80,50,50,50,100,50,50,50,80,100,1,20,100,100,100
1439,0,100,50,50,100,100,85,50,70,1,70,60,1,100,100,60,85,1,70,100
1440,0,45,75,55,35,60,35,30,60,95,25,50,70,70,70,35,70,95,80,60
1441,0,75,50,15,50,0,71,85,70,50,60,50,51,100,85,85,100,50,70,40
1442,0,50,50,50,40,70,30,50,50,70,30,40,40,85,85,50,70,70,85,30
1443,0,85,40,60,70,100,30,85,85,100,85,70,70,85,85,60,100,100,85,50
1444,0,60,85,85,100,85,70,40,85,70,30,70,85,100,70,15,100,85,100,85
1445,0,70,85,85,70,70,60,60,70,70,60,60,85,85,85,30,70,70,70,85
1446,0,45,50,20,35,50,30,55,15,50,15,50,45,50,50,60,65,50,70,35
1447,0,54,50,58,60,62,60,60,70,50,62,50,50,70,60,50,87,50,60,15
1448,0,0,0,1,0,70,50,0,0,85,60,85,1,100,70,0,100,0,70,0
1449,0,85,70,50,40,85,70,85,70,60,60,70,60,100,85,85,100,50,60,50
1450,0,70,72,32,32,6,1,31,96,4,1,2,1,50,85,1,95,1,98,1
1451,0,0,60,40,15,60,60,75,70,70,40,60,40,60,70,0,80,60,70,30
1452,0,50,1,1,1,85,85,100,50,50,50,85,1,100,50,100,85,50,50,1
1453,0,51,51,52,1,51,15,84,14,17,1,51,48,51,51,3,100,1,84,17
1454,0,70,70,50,40,70,70,70,85,85,60,85,70,70,70,40,85,70,85,70
1455,0,40,50,50,50,50,40,50,60,50,40,50,50,70,50,50,85,50,50,50
1456,0,40,50,65,90,80,30,15,50,90,25,40,60,40,50,15,75,80,90,40
1457,0,85,30,16,40,51,60,90,51,16,50,50,1,100,50,70,85,16,61,30
1458,0,50,1,1,1,85,70,100,70,50,40,100,15,100,70,100,100,50,60,1
1459,0,40,60,60,70,85,30,40,60,85,60,85,85,70,85,40,85,85,100,85
1460,0,1,100,90,50,65,70,30,85,100,85,30,50,40,85,30,40,100,85,100
1461,0,50,50,50,30,50,50,50,40,50,15,50,50,50,50,50,70,50,50,30
1462,0,17,52,51,55,71,17,31,31,85,8,51,66,51,60,15,85,70,93,50
1463,0,50,50,50,50,50,60,50,50,50,50,50,50,50,50,50,1,50,50,50
1464,0,50,50,1,30,70,40,60,60,30,60,60,1,85,85,50,100,1,85,15
1465,0,50,60,30,70,50,53,50,50,60,30,70,40,60,50,70,85,50,70,50
1466,0,49,50,62,60,60,40,40,60,57,32,40,33,74,50,63,95,19,61,1
1467,0,40,60,60,100,100,50,40,85,0,1,70,100,100,100,1,100,0,85,60
1468,0,50,100,100,100,100,1,50,50,100,50,50,50,100,100,1,100,100,100,50
1469,0,60,40,40,60,100,70,60,70,40,60,70,30,100,70,60,100,15,70,40
1470,0,60,30,30,30,60,30,85,60,40,15,60,30,85,60,50,70,15,70,30
1471,0,50,15,1,31,51,62,70,30,16,40,61,50,76,50,71,86,1,50,1
1472,0,10,90,99,80,80,1,1,85,75,1,1,70,75,75,1,75,50,90,75
1473,0,1,85,100,100,100,1,1,50,85,1,1,70,15,85,1,70,85,100,70
1474,0,1,1,15,100,85,1,15,50,50,1,15,1,1,50,1,30,50,100,1
1475,0,49,50,50,94,85,31,50,30,51,31,50,51,98,86,51,95,51,84,14
1476,0,70,60,60,50,85,60,60,85,60,70,50,70,85,85,60,100,60,100,70
1477,0,15,50,50,70,50,15,50,40,50,15,50,1,100,50,15,100,50,85,15
1478,0,100,50,1,61,61,60,51,60,1,60,50,1,98,52,51,100,3,60,51
1479,0,15,50,79,60,70,40,15,57,68,34,31,50,100,90,1,85,21,93,37
1480,0,59,40,30,12,96,60,84,58,57,51,79,76,98,85,51,86,41,95,41
1481,0,50,65,50,30,85,50,50,50,65,50,50,65,70,65,50,100,65,100,1
1482,0,100,70,50,100,70,50,50,50,50,50,50,50,100,70,50,100,50,70,50
1483,0,100,100,85,85,70,50,60,70,100,60,70,70,100,100,70,50,100,100,100
1484,0,0,85,0,50,0,30,30,70,85,30,50,0,0,0,15,85,85,85,0
1485,0,30,100,100,100,85,60,85,100,85,40,70,100,85,85,1,100,70,100,85
1486,0,1,85,85,30,60,60,40,70,60,40,85,70,85,70,40,85,30,100,30
1487,0,50,50,30,40,60,50,50,30,50,50,30,50,70,70,70,100,50,50,15
1488,0,41,51,60,70,42,61,41,50,51,61,41,16,51,100,51,84,51,99,1
1489,0,40,40,1,15,100,40,15,1,1,1,1,1,100,1,1,40,0,40,100
1490,0,14,86,50,53,50,27,9,47,97,40,52,52,50,52,50,86,62,90,41
1491,0,30,60,60,50,70,50,30,60,50,50,50,50,50,50,40,60,50,50,60
1492,0,1,60,70,70,85,50,70,50,85,40,50,85,85,85,1,85,50,100,70
